,Cost Center,Employee ID,Payroll Code,Hiring Period,FT-PT Status
70,ESX,U862268,ATW,OCT,PT
71,NLG,R681042,BTW,FEB,PT
72,ESO,C605955,ATW,SEP,PT
73,CLD,X500600,ATW,NOV,PT
74,ULO,Q980650,ATW,JUN,PT
75,CLD,W058425,ATW,JAN,PT
76,ESX,W740979,ATW,DEC,FT
77,AOO,V134733,BTW,MAY,PT
78,ESO,W433749,ATW,SEP,FT
79,AHS,Q950539,ATW,NOV,PT
80,ESX,U675074,BTW,JUL,FT
81,ULO,I848861,ATW,NOV,FT
82,DHU,Z340545,ATW,MAY,FT
83,DHU,T685306,ATW,AUG,FT
84,LNX,Q375165,BTW,OCT,PT
85,AOO,K294427,BTW,JUN,PT
86,CLD,O292043,BTW,APR,PT
87,NLG,E768448,BTW,MAY,FT
88,QCU,Z014595,ATW,APR,FT
89,ULO,A408959,BTW,JUL,FT
90,OZG,W669260,BTW,DEC,FT
91,ESO,F146816,ATW,FEB,FT
92,AHS,U744852,ADM,AUG,FT
93,AOO,G417832,ATW,AUG,PT
94,AHS,R682436,ATW,OCT,PT
95,CLD,H683089,BTW,MAY,FT
96,AHS,L122119,BTW,JUL,FT
97,DHU,E964407,ATW,MAY,PT
98,NLG,C248626,ATW,APR,PT
99,GDP,G414115,ATW,JAN,FT
100,CLD,S891952,BTW,NOV,PT
101,ULO,W627002,ATW,FEB,FT
102,GDP,F550510,BTW,APR,FT
103,BJZ,D369622,BTW,FEB,PT
104,AHS,U040863,ATW,JUL,PT
105,OZG,S428181,BTW,JAN,PT
106,NLG,C836863,ATW,APR,PT
107,AOO,C974032,ATW,NOV,PT
108,BJZ,H983807,ATW,AUG,PT
109,OZG,Z357872,ADM,OCT,PT
110,GDP,X034756,ATW,OCT,FT
111,ACJ,K013816,ATW,JUL,PT
112,ESX,O036011,BTW,MAY,FT
113,BJZ,Y845351,BTW,JUL,PT
114,ESX,E164029,ATW,SEP,PT
115,ESX,T909835,ATW,APR,PT
116,LNX,C935292,ATW,NOV,PT
117,OZG,J976676,BTW,DEC,PT
118,NLG,P077582,ATW,JUN,PT
119,ESX,A880463,BTW,APR,FT
120,ESX,J717068,ATW,JUL,FT
121,CLD,U264855,BTW,AUG,PT
122,YTE,A708077,ADM,FEB,PT
123,ESO,Y410474,ATW,APR,PT
124,DOI,O544407,ADM,FEB,PT
125,DHU,E405989,ATW,JUL,PT
126,ULO,P726600,ATW,SEP,PT
127,YTE,I924894,BTW,AUG,FT
128,ESX,U379871,ATW,OCT,FT
129,GDP,W809887,ATW,JUN,PT
130,YTE,H235533,BTW,APR,PT
131,AOO,I452074,BTW,DEC,PT
132,DHU,E980552,ATW,MAR,FT
133,ESO,S100294,ATW,MAR,PT
134,CLD,O754070,ATW,JUL,PT
135,DOI,T186572,BTW,FEB,FT
136,ESO,P643315,ATW,JUN,FT
137,BJZ,E637811,BTW,FEB,PT
138,AHS,P793276,BTW,SEP,PT
139,DHU,Q294447,BTW,SEP,FT
140,ACJ,A699849,BTW,JAN,PT
141,NLG,X889569,ATW,FEB,PT
142,ESO,P844834,BTW,OCT,PT
143,ACJ,T047484,ATW,OCT,PT
144,OZG,K121317,BTW,MAR,FT
145,NLG,V447278,ATW,AUG,FT
146,DOI,C652166,ATW,SEP,PT
147,OZG,Y608404,ATW,AUG,PT
148,QCU,I073075,ATW,NOV,PT
149,NLG,K250603,BTW,MAR,PT
150,DOI,E989041,ADM,OCT,PT
151,CLD,E989298,ATW,OCT,PT
152,GDP,O901225,ATW,OCT,PT
153,YTE,L600636,ATW,FEB,PT
154,OZG,D998501,ATW,AUG,PT
155,ESO,M764476,ATW,AUG,FT
156,ESO,W952601,BTW,OCT,PT
157,CLD,R688026,ATW,AUG,PT
158,DOI,A423712,ATW,MAR,FT
159,CLD,Z190065,ATW,AUG,PT
160,LNX,P817099,ATW,JUN,PT
161,ESO,B848465,ATW,JUN,PT
162,ACJ,W823133,BTW,FEB,FT
163,GDP,G649833,BTW,FEB,PT
164,AOO,P036357,ATW,JAN,PT
165,OZG,W515405,ATW,JUN,PT
166,ACJ,Q535888,BTW,MAY,PT
167,ESO,U867551,ADM,NOV,FT
168,CLD,T559645,BTW,JUL,PT
169,ESO,W073683,BTW,OCT,FT
170,BJZ,I785384,ADM,AUG,PT
171,ESX,U484430,BTW,JUN,PT
172,DOI,A313057,BTW,JUL,PT
173,OZG,J281946,BTW,SEP,PT
174,LNX,U381870,BTW,OCT,PT
175,ACJ,Y482853,ATW,JUN,FT
176,AHS,A261236,ATW,JUN,PT
177,ACJ,V734318,BTW,AUG,PT
178,DHU,P312833,ADM,JUN,PT
179,DHU,R076657,ATW,JAN,PT
180,AHS,C419700,BTW,JAN,FT
181,ULO,Y633749,ATW,SEP,FT
182,CLD,O397715,ATW,JUL,PT
183,ULO,X890178,BTW,DEC,FT
184,ESO,J817553,BTW,MAR,PT
185,GDP,H743682,BTW,JUL,PT
186,YTE,P756989,BTW,SEP,PT
187,BJZ,B832064,ATW,JAN,PT
188,ESX,P408065,BTW,JAN,PT
189,OZG,R317503,ATW,JUL,PT
190,YTE,K230292,ATW,NOV,PT
191,DHU,P024660,BTW,JUN,PT
192,ESX,O809851,ATW,MAY,PT
193,ESO,S971682,ATW,MAY,FT
194,ESX,U596132,ATW,MAR,PT
195,QCU,D057997,BTW,DEC,PT
196,YTE,S210532,ADM,SEP,PT
197,AHS,E810776,BTW,JAN,FT
198,GDP,I390639,ATW,MAY,PT
199,ACJ,U618230,BTW,MAR,PT
200,ULO,U828062,BTW,OCT,PT
201,ESX,V241423,BTW,APR,PT
202,CLD,L933201,ATW,JAN,PT
203,ACJ,D515963,ADM,FEB,PT
204,CLD,Z855021,ATW,JUN,PT
205,BJZ,Q605956,ATW,JAN,FT
206,NLG,C846001,ATW,JUL,PT
207,CLD,M882222,ADM,OCT,PT
208,OZG,H095377,BTW,MAY,PT
209,YTE,D329810,BTW,DEC,PT
210,AHS,K656682,ATW,JUN,FT
211,GDP,O975247,BTW,MAY,FT
212,BJZ,P421125,BTW,JAN,PT
213,ACJ,S728964,ADM,FEB,PT
214,AHS,M121029,ATW,JUL,FT
215,LNX,O389020,ATW,JUN,FT
216,NLG,C351664,ATW,JUL,PT
217,DOI,V040358,BTW,MAY,PT
218,BJZ,Y816934,ATW,OCT,PT
219,AHS,N148858,BTW,DEC,PT
220,LNX,P796635,BTW,JUL,PT
221,DHU,Q922567,ADM,JUL,PT
222,DOI,B780044,BTW,OCT,PT
223,BJZ,U516143,ADM,MAY,PT
224,CLD,D641713,BTW,JUN,PT
225,AOO,F591462,ADM,JUN,PT
226,DHU,G043566,ATW,MAY,FT
227,CLD,H821886,BTW,OCT,PT
228,AOO,P093031,ADM,SEP,PT
229,ESO,H414150,BTW,APR,PT
230,ESO,U134514,BTW,MAY,PT
231,NLG,V829627,ATW,JAN,PT
232,QCU,J208177,BTW,DEC,PT
233,ACJ,K088929,ATW,SEP,PT
234,OZG,L756256,ATW,JUL,PT
235,QCU,F896288,BTW,JUN,PT
236,LNX,V040333,ATW,MAR,FT
237,YTE,Z335135,ATW,APR,PT
238,ULO,J184674,BTW,AUG,PT
239,YTE,B057176,ATW,JUN,PT
240,CLD,Q125756,BTW,SEP,FT
241,LNX,X233573,BTW,OCT,PT
242,YTE,A840127,ATW,APR,PT
243,CLD,R369954,ATW,JAN,PT
244,QCU,Y044901,ATW,DEC,PT
245,YTE,U167182,ATW,JUL,FT
246,AHS,K981914,ATW,OCT,PT
247,ULO,Y109942,BTW,DEC,PT
248,AHS,H711845,ATW,SEP,PT
249,AOO,K726574,ATW,MAR,PT
250,QCU,N536409,ATW,MAY,PT
251,ESX,H472987,ATW,NOV,PT
252,ESX,J259130,BTW,MAY,PT
253,GDP,U068534,ATW,OCT,PT
254,YTE,T887590,BTW,OCT,FT
255,YTE,S812780,ATW,JUN,PT
256,ULO,Y795951,ATW,APR,PT
257,ESX,T940339,ATW,JUL,PT
258,DOI,P196247,ATW,JAN,PT
259,DHU,A689803,ATW,AUG,PT
260,ULO,C412194,ATW,AUG,PT
261,LNX,Y824279,BTW,JAN,FT
262,ULO,H432434,ATW,JUL,PT
263,DOI,W981374,ATW,JUN,FT
264,DOI,S761808,ADM,NOV,FT
265,AOO,S561635,ATW,AUG,PT
266,YTE,T120141,BTW,SEP,PT
267,AOO,E839534,BTW,MAY,PT
268,OZG,Q481397,ATW,APR,PT
269,BJZ,Z244381,BTW,DEC,PT
270,GDP,R428222,BTW,AUG,FT
271,NLG,U250511,ADM,MAR,FT
272,DOI,X226110,BTW,JAN,PT
273,DOI,L372570,ATW,FEB,PT
274,AHS,L327947,BTW,APR,FT
275,YTE,L904052,BTW,NOV,PT
276,CLD,J645283,BTW,JUL,PT
277,DHU,A498177,ATW,JAN,PT
278,LNX,G984133,BTW,OCT,FT
279,GDP,D265151,BTW,JUN,PT
280,DOI,P557674,ATW,JUL,PT
281,DHU,S128777,ATW,NOV,PT
282,ULO,U513779,ATW,FEB,FT
283,ESO,U517754,BTW,JUL,FT
284,ACJ,G097913,ATW,NOV,FT
285,AHS,A580570,ATW,APR,PT
286,DOI,Q457538,BTW,DEC,PT
287,AHS,E332685,BTW,MAY,PT
288,ACJ,S921957,BTW,MAY,PT
289,ESO,K664726,BTW,JUL,PT
290,BJZ,L088896,BTW,OCT,PT
291,AHS,X020752,BTW,SEP,PT
292,NLG,P241722,ATW,JUL,PT
293,BJZ,F753210,ATW,OCT,FT
294,ESX,D258870,ATW,JAN,FT
295,AOO,M853349,BTW,DEC,PT
296,OZG,V218809,BTW,DEC,PT
297,OZG,D573539,BTW,NOV,PT
298,ESX,B892935,ATW,JUN,FT
299,BJZ,P681035,ATW,JAN,PT
300,LNX,P017717,BTW,MAR,PT
301,AHS,S307126,BTW,MAY,FT
302,GDP,B390953,BTW,JUL,FT
303,ESX,J350153,BTW,AUG,PT
304,DHU,T329476,BTW,JAN,PT
305,ULO,K093682,BTW,AUG,PT
306,OZG,S025877,BTW,AUG,PT
307,NLG,B492507,ATW,FEB,PT
308,DHU,J030454,BTW,DEC,FT
309,CLD,N323575,ATW,SEP,FT
310,AHS,X686517,BTW,OCT,FT
311,AOO,G851427,BTW,JUN,PT
312,YTE,U180950,ATW,MAY,FT
313,BJZ,M215915,ATW,OCT,PT
314,ESO,T724583,BTW,DEC,PT
315,QCU,I362115,BTW,MAY,PT
316,ACJ,Y804385,BTW,SEP,PT
317,ACJ,Z638463,ATW,AUG,PT
318,GDP,U785349,BTW,MAR,FT
319,LNX,H227440,ATW,NOV,FT
320,QCU,Z834111,BTW,OCT,PT
321,OZG,A397253,ATW,JUL,PT
322,ACJ,L474806,ATW,SEP,PT
323,NLG,W075898,ADM,JUL,PT
324,AHS,B249962,BTW,SEP,PT
325,AHS,P755992,BTW,JUN,FT
326,QCU,H425937,BTW,NOV,PT
327,GDP,J071866,ATW,DEC,PT
328,DHU,Y675600,ADM,JUN,PT
329,ULO,P662821,ATW,NOV,PT
330,AOO,C644916,ATW,APR,PT
331,GDP,O829320,ATW,AUG,FT
332,ESO,C564886,BTW,MAR,PT
333,LNX,E956276,BTW,FEB,PT
334,DHU,K093578,BTW,NOV,PT
335,ACJ,V741891,BTW,FEB,PT
336,ULO,U709317,ATW,MAR,PT
337,ULO,V150470,BTW,FEB,PT
338,DHU,Y980849,BTW,NOV,PT
339,LNX,X488710,BTW,FEB,PT
340,ESO,F535845,BTW,FEB,PT
341,DHU,N969842,ATW,AUG,PT
342,DHU,P264130,ATW,FEB,FT
343,DOI,X604441,ATW,DEC,PT
344,ESX,W615167,ATW,JUN,FT
345,NLG,M214949,ADM,NOV,PT
346,YTE,J049670,BTW,FEB,PT
347,YTE,L241778,ATW,SEP,FT
348,LNX,C160301,BTW,AUG,PT
349,LNX,A178877,BTW,DEC,FT
350,AHS,K172804,BTW,OCT,PT
351,DHU,D821083,BTW,OCT,PT
352,QCU,N078621,ADM,MAY,PT
353,AHS,E307533,BTW,JAN,PT
354,YTE,E865424,BTW,SEP,PT
355,GDP,Q798691,BTW,JAN,FT
356,LNX,M078731,ATW,AUG,PT
357,QCU,P369248,BTW,APR,FT
358,CLD,W810947,BTW,JAN,PT
359,ACJ,C488550,BTW,MAY,PT
360,YTE,V461937,BTW,OCT,PT
361,CLD,Z191632,ATW,JUN,PT
362,ULO,U193800,ATW,OCT,PT
363,ESX,U815331,BTW,MAR,FT
364,ESO,T015483,ATW,FEB,FT
365,NLG,O570436,ATW,OCT,FT
366,LNX,M749369,ATW,OCT,PT
367,BJZ,D046592,ATW,SEP,PT
368,ESX,Z061113,ATW,OCT,PT
369,AHS,L926265,ATW,MAR,PT
370,DOI,U354355,ATW,AUG,PT
371,ULO,J625149,BTW,JUL,PT
372,NLG,O470922,BTW,MAY,PT
373,ACJ,H743968,BTW,OCT,FT
374,CLD,J245095,BTW,AUG,PT
375,ESO,K649041,ATW,JAN,PT
376,AHS,P203530,BTW,APR,FT
377,BJZ,Z488406,BTW,NOV,FT
378,DHU,Y796765,ATW,JUN,PT
379,ESX,T549643,ATW,JUN,PT
380,AOO,K330569,BTW,SEP,PT
381,AHS,L560177,ATW,APR,PT
382,YTE,O628490,ADM,NOV,PT
383,QCU,P664927,BTW,JUN,FT
384,NLG,G751173,BTW,APR,FT
385,GDP,Q059543,ADM,SEP,PT
386,LNX,D681796,BTW,DEC,PT
387,AHS,C721306,BTW,SEP,FT
388,DHU,R949202,ATW,JUL,FT
389,YTE,K671079,ATW,APR,PT
390,LNX,M082757,ATW,JAN,PT
391,YTE,T383357,ATW,NOV,PT
392,BJZ,Y349396,BTW,JUL,PT
393,NLG,Y158974,ATW,JAN,PT
394,CLD,X236274,ADM,FEB,PT
395,LNX,R581980,ATW,DEC,FT
396,ACJ,J601668,ATW,JUN,PT
397,BJZ,K337640,ATW,AUG,FT
398,DHU,G422018,ATW,JUN,PT
399,NLG,U045336,BTW,OCT,FT
400,BJZ,Z990256,ATW,MAY,PT
401,AHS,O640424,ATW,JUN,PT
402,CLD,J318261,ATW,APR,PT
403,OZG,R852195,BTW,OCT,PT
404,YTE,X698524,ATW,NOV,PT
405,NLG,D681237,BTW,FEB,FT
406,ESX,D519168,ADM,MAY,PT
407,ESO,B729726,ADM,JUN,PT
408,ULO,N443083,BTW,JUN,PT
409,DOI,V296649,BTW,AUG,PT
410,GDP,N323171,BTW,DEC,PT
411,NLG,U489165,ATW,OCT,FT
412,YTE,C242552,ATW,JAN,PT
413,BJZ,N178733,BTW,JUL,FT
414,CLD,C903481,BTW,JUL,FT
415,GDP,M972122,ATW,MAY,PT
416,YTE,Q367370,BTW,NOV,PT
417,QCU,B625285,BTW,JAN,FT
418,GDP,M303063,ATW,DEC,PT
419,NLG,X710274,ATW,AUG,PT
420,CLD,U365242,BTW,JUN,PT
421,BJZ,M182209,BTW,APR,PT
422,CLD,O268373,ATW,NOV,FT
423,DHU,W950508,ATW,AUG,PT
424,CLD,B737157,ATW,JUL,FT
425,AOO,Z347480,BTW,MAY,PT
426,DHU,L075923,BTW,OCT,PT
427,ESO,R862485,ATW,AUG,FT
428,LNX,A108364,ADM,SEP,PT
429,YTE,M501006,BTW,SEP,FT
430,AHS,H482846,BTW,FEB,FT
431,QCU,M623520,BTW,JUL,FT
432,LNX,U977542,ATW,FEB,PT
433,OZG,A124551,BTW,NOV,PT
434,ULO,O825030,ADM,FEB,PT
435,CLD,Y833360,BTW,JUN,PT
436,DOI,Y697021,BTW,MAY,FT
437,DHU,T642137,BTW,MAR,PT
438,BJZ,V161962,ADM,FEB,PT
439,AOO,I628535,ATW,MAY,PT
440,GDP,C233105,BTW,OCT,PT
441,AOO,F581399,BTW,JUL,FT
442,AHS,G373516,BTW,JAN,FT
443,CLD,M094449,BTW,MAY,FT
444,AOO,Y434515,ATW,DEC,PT
445,NLG,I359557,BTW,AUG,FT
446,ESO,C451924,ATW,DEC,PT
447,ESO,K041739,ATW,DEC,PT
448,ULO,H877700,BTW,OCT,PT
449,ESX,S207145,ATW,MAR,PT
450,BJZ,A893192,BTW,MAR,PT
451,AHS,A290752,BTW,MAY,FT
452,DOI,H679824,BTW,DEC,FT
453,ULO,I443418,BTW,JUL,FT
454,ULO,A706166,BTW,JUL,PT
455,BJZ,U131073,BTW,APR,PT
456,CLD,S914286,BTW,APR,PT
457,YTE,V007341,BTW,JAN,FT
458,DOI,V912540,ATW,AUG,PT
459,AOO,E160898,BTW,SEP,PT
460,CLD,E190101,ADM,AUG,PT
461,GDP,K533635,BTW,AUG,PT
462,ACJ,W773952,BTW,FEB,FT
463,NLG,P937788,ATW,OCT,FT
464,ESX,V617564,BTW,MAY,PT
465,BJZ,I428564,ATW,FEB,FT
466,AOO,Q471221,BTW,SEP,PT
467,LNX,C322706,ATW,OCT,PT
468,ULO,T905759,ADM,MAR,PT
469,DOI,M052906,ADM,AUG,FT
470,ESO,Z619933,BTW,JUL,PT
471,YTE,H591376,BTW,AUG,PT
472,AOO,O389821,ATW,MAY,PT
473,YTE,P556366,ATW,JUN,PT
474,DHU,T059436,ATW,JUN,FT
475,AOO,T959766,ATW,JUN,PT
476,OZG,N052850,BTW,AUG,PT
477,NLG,V142315,ATW,MAY,PT
478,DHU,W956442,BTW,NOV,PT
479,OZG,Y643385,BTW,JAN,PT
480,YTE,W048864,BTW,JUL,PT
481,CLD,V571082,BTW,APR,PT
482,CLD,A857523,ATW,DEC,PT
483,ACJ,H289603,ATW,MAR,PT
484,NLG,F044862,BTW,OCT,PT
485,AHS,S954777,BTW,JAN,PT
486,GDP,C801801,ATW,AUG,FT
487,AHS,B196592,BTW,JUL,PT
488,DOI,S245259,BTW,SEP,PT
489,NLG,T933760,ATW,APR,FT
490,ACJ,L028216,BTW,AUG,PT
491,LNX,H834406,ATW,MAY,PT
492,GDP,Y499179,BTW,JUN,PT
493,LNX,Y180425,ATW,APR,PT
494,ESX,W273463,BTW,SEP,PT
495,LNX,I376162,ADM,MAY,FT
496,GDP,W892447,ATW,MAR,PT
497,GDP,V577030,BTW,NOV,PT
498,CLD,Z499624,ATW,OCT,FT
499,AOO,Q350351,ATW,APR,FT
500,AHS,C284616,BTW,MAR,FT
501,QCU,F205476,ATW,JUN,PT
502,ACJ,I141151,ADM,SEP,FT
503,AHS,F725413,BTW,JAN,PT
504,DOI,R636914,ADM,FEB,FT
505,AOO,F677516,ATW,SEP,FT
506,AOO,I783993,ATW,NOV,FT
507,QCU,R098414,BTW,AUG,PT
508,AHS,U580543,BTW,DEC,PT
509,ACJ,G685344,BTW,FEB,FT
510,DHU,I749228,ATW,JUL,PT
511,YTE,E420679,ATW,MAY,PT
512,YTE,U008950,BTW,JAN,FT
513,LNX,L711874,ATW,AUG,PT
514,ESO,T992165,BTW,NOV,FT
515,LNX,E402956,ATW,MAY,PT
516,ESX,Z882337,ATW,NOV,PT
517,DOI,C391248,ATW,OCT,PT
518,OZG,R900980,BTW,JAN,PT
519,AHS,V070585,ATW,JAN,PT
520,GDP,M421338,ATW,OCT,PT
521,ESX,S880959,ATW,MAY,PT
522,ESO,H269959,BTW,SEP,PT
523,ESX,E139118,ATW,NOV,PT
524,GDP,D462905,BTW,OCT,PT
525,NLG,Q437487,BTW,FEB,PT
526,LNX,O442514,BTW,SEP,PT
527,ACJ,Q012059,ADM,NOV,PT
528,DOI,R198836,BTW,NOV,PT
529,LNX,X408817,ADM,NOV,PT
530,QCU,M103034,BTW,NOV,PT
531,QCU,E693257,BTW,JAN,FT
532,AOO,E244946,ATW,SEP,PT
533,YTE,A782942,BTW,JAN,FT
534,ESO,B745841,BTW,DEC,FT
535,QCU,W293379,BTW,FEB,FT
536,AOO,E005138,ATW,JUN,FT
537,ESO,T774288,ATW,JUL,PT
538,AOO,U814038,BTW,NOV,PT
539,GDP,T988984,ATW,MAR,PT
540,AOO,I408509,ATW,OCT,FT
541,YTE,V268307,BTW,JAN,FT
542,GDP,O491161,ATW,DEC,PT
543,YTE,A655516,BTW,FEB,PT
544,AHS,J815546,ATW,FEB,FT
545,ULO,B428325,ATW,AUG,PT
546,LNX,W361209,ATW,FEB,FT
547,AHS,X452063,BTW,OCT,PT
548,BJZ,C762055,BTW,JUN,FT
549,AOO,M904769,BTW,FEB,PT
550,AHS,E344762,BTW,MAR,PT
551,DOI,O894244,BTW,SEP,PT
552,AOO,Z575169,BTW,MAY,PT
553,LNX,W827752,ATW,JUL,PT
554,YTE,S182762,ADM,DEC,PT
555,GDP,U027417,BTW,MAY,PT
556,QCU,K923159,BTW,JUL,PT
557,ACJ,F952059,ADM,OCT,PT
558,ESO,Q190704,BTW,DEC,PT
559,ESX,G584415,BTW,JAN,PT
560,DHU,T233651,ATW,MAR,PT
561,OZG,L177235,BTW,SEP,FT
562,ESX,S663054,ATW,MAR,PT
563,BJZ,Q679433,BTW,MAY,PT
564,ESX,Y311353,ADM,APR,FT
565,ACJ,F987310,BTW,DEC,PT
566,NLG,Q370750,BTW,AUG,PT
567,OZG,S425780,BTW,NOV,PT
568,ULO,G906912,BTW,JUN,PT
569,ULO,U038017,BTW,AUG,PT
570,ACJ,G070920,ADM,DEC,FT
571,DOI,T182652,BTW,JUN,PT
572,AHS,D963610,ADM,FEB,PT
573,GDP,J591906,BTW,APR,FT
574,LNX,T786082,BTW,DEC,FT
575,GDP,L672242,BTW,MAR,PT
576,ULO,T353597,BTW,MAY,FT
577,CLD,A997606,ATW,AUG,PT
578,ULO,H184538,ATW,AUG,FT
579,GDP,U705650,ATW,APR,PT
580,GDP,J484610,BTW,FEB,PT
581,NLG,Z975722,ATW,MAR,PT
582,AHS,A562674,BTW,JUN,PT
583,BJZ,E083853,ATW,OCT,PT
584,AHS,I262819,BTW,JUL,PT
585,ESO,N002769,ATW,JUN,PT
586,ULO,H464380,BTW,MAY,FT
587,ESX,X696215,BTW,DEC,PT
588,AHS,A866431,BTW,JUL,FT
589,ESX,H321430,BTW,AUG,PT
590,ULO,I741941,BTW,JUN,FT
591,BJZ,D524245,BTW,JUN,PT
592,LNX,F823496,BTW,DEC,FT
593,GDP,Y486966,ATW,MAY,PT
594,GDP,M299315,ADM,FEB,FT
595,AOO,B075763,ATW,JUN,PT
596,QCU,N603943,ATW,JUN,FT
597,GDP,Z475722,BTW,JUL,FT
598,DOI,I747691,ADM,MAR,PT
599,GDP,B218192,BTW,OCT,FT
600,ESO,C184817,ADM,APR,PT
601,ACJ,Q618007,BTW,SEP,PT
602,ESO,W966780,BTW,JUL,PT
603,QCU,Z469231,ADM,NOV,PT
604,GDP,R254055,BTW,JUN,PT
605,DHU,G283372,ATW,JUN,PT
606,YTE,S324159,ADM,NOV,PT
607,ESO,V515815,ADM,MAY,PT
608,AHS,Z210953,ATW,JAN,PT
609,ULO,N087055,ADM,MAR,PT
610,ESO,T825346,BTW,OCT,FT
611,NLG,B257965,ATW,DEC,PT
612,BJZ,H604937,ATW,APR,PT
613,ESO,C367379,BTW,NOV,PT
614,GDP,B840347,ADM,AUG,FT
615,NLG,D640547,BTW,AUG,PT
616,NLG,B489194,BTW,MAR,FT
617,OZG,S280197,BTW,MAY,PT
618,ULO,O657944,BTW,AUG,FT
619,NLG,N425999,ATW,DEC,PT
620,AOO,C925421,ATW,SEP,FT
621,ESX,V879225,BTW,JAN,PT
622,DOI,X680523,ADM,MAR,PT
623,GDP,X529510,ATW,FEB,PT
624,AOO,T923064,ADM,DEC,PT
625,NLG,U725802,ATW,OCT,PT
626,AOO,D025655,BTW,JUL,PT
627,LNX,R225131,BTW,MAR,PT
628,LNX,E837605,ATW,SEP,FT
629,DHU,U612846,ATW,SEP,FT
630,ULO,M777263,ATW,JUL,FT
631,BJZ,X699410,BTW,NOV,PT
632,GDP,N449584,BTW,JAN,PT
633,ESX,H325176,BTW,FEB,FT
634,LNX,X065655,ATW,OCT,PT
635,ESO,V856960,ATW,NOV,FT
636,AHS,Z454277,ATW,MAY,FT
637,OZG,S199626,ATW,MAR,PT
638,AHS,E473988,ATW,JUL,PT
639,BJZ,D278595,BTW,APR,PT
640,AHS,C349344,ATW,MAY,PT
641,BJZ,T869446,BTW,NOV,FT
642,ULO,A016451,ATW,DEC,FT
643,DOI,Y401029,BTW,MAR,PT
644,CLD,G050732,BTW,JUL,PT
645,ULO,D737779,ATW,AUG,FT
646,CLD,Q407167,ATW,MAR,FT
647,OZG,Y695282,BTW,FEB,FT
648,BJZ,E715354,ATW,JUL,FT
649,AOO,H485168,ATW,AUG,FT
650,AOO,A833873,BTW,NOV,PT
651,ESX,S814493,BTW,JUL,PT
652,YTE,V887272,ATW,AUG,FT
653,CLD,R677859,BTW,AUG,FT
654,QCU,H597318,ATW,SEP,FT
655,AOO,J828493,ATW,AUG,PT
656,AOO,X650864,BTW,FEB,PT
